"sulfite,shortwave x","sulfite,shortwave y","sulfite,longwave x","sulfite,longwave y","bisulfite,shortwave x","bisulfite,shortwave y","bisulfite, longwave x","bisulfite, longwave y"
2.499423217600E2,4.181765144484E0,2.595628145911E2,1.072828101720E0,2.061224314959E2,5.688307950204E1,2.236016444245E2,1.011189036816E0
2.497360519075E2,4.220798309615E0,2.593558876261E2,1.087880340851E0,2.061211172709E2,5.741364932214E1,2.236003301995E2,1.020620776273E0
2.497347376825E2,4.260167278726E0,2.593545734011E2,1.098027408868E0,2.061198030459E2,5.794916796599E1,2.234965381607E2,1.030143939314E0
2.497334234574E2,4.299903456979E0,2.593532591761E2,1.108269122396E0,2.061184888209E2,5.848968159310E1,2.234952239357E2,1.039752478256E0
2.495271536049E2,4.340039341201E0,2.591469893235E2,1.118613857255E0,2.059122189683E2,5.903563224341E1,2.234939097107E2,1.049450639646E0
2.495258393799E2,4.380520516142E0,2.591456750985E2,1.129047588308E0,2.059109047433E2,5.958627973038E1,2.234925954857E2,1.059239259424E0
2.495245251549E2,4.421379274187E0,2.590418830597E2,1.139582455435E0,2.059095905183E2,6.014206331303E1,2.234231817556E2,1.067468534695E0
2.493182553023E2,4.462649030224E0,2.589380910209E2,1.150215620832E0,2.059082762933E2,6.070303089762E1,2.232850114081E2,1.079098485312E0
2.493169410773E2,4.504273831727E0,2.589367767959E2,1.160944113388E0,2.058044842545E2,6.126943604414E1,2.232836971831E2,1.089163641668E0
2.493156268523E2,4.546286883368E0,2.588329847571E2,1.171776599195E0,2.057006922157E2,6.184112617865E1,2.232823829581E2,1.099322679513E0
2.491093569997E2,4.588722544033E0,2.587291927184E2,1.182710160280E0,2.056993779907E2,6.241794155994E1,2.232810687331E2,1.109576474516E0
2.491080427747E2,4.631523280491E0,2.587278784933E2,1.193741741595E0,2.056980637657E2,6.300013711466E1,2.232116550030E2,1.118196821770E0
2.491067285497E2,4.674723235473E0,2.587265642683E2,1.204876218607E0,2.056967495407E2,6.358776302570E1,2.230734846555E2,1.130379451417E0
2.490373148197E2,4.711041360934E0,2.585202944158E2,1.216122697254E0,2.055929575019E2,6.418108490272E1,2.230721704305E2,1.140922924580E0
2.488991444721E2,4.762367631078E0,2.585189801908E2,1.227465929835E0,2.054891654631E2,6.477994292118E1,2.230708562055E2,1.151564740673E0
2.488978302471E2,4.806788020400E0,2.585176659658E2,1.238914965001E0,2.054878512381E2,6.538416974861E1,2.230695419804E2,1.162305816976E0
2.488284165171E2,4.844132162843E0,2.584138739270E2,1.250474977769E0,2.054865370131E2,6.599403242632E1,2.230001282504E2,1.171335820756E0
2.486902461696E2,4.896908442429E0,2.583100818882E2,1.262142854192E0,2.054852227880E2,6.660958352199E1,2.228619579029E2,1.184097393869E0
2.486889319446E2,4.942583744366E0,2.583087676632E2,1.273915334039E0,2.052789529355E2,6.723132644228E1,2.228606436779E2,1.195141914432E0
2.486195182145E2,4.980982889617E0,2.582049756244E2,1.285801926698E0,2.052776387105E2,6.785841824336E1,2.228593294528E2,1.206289451381E0
2.484813478670E2,5.035250142606E0,2.581011835856E2,1.297799430248E0,2.052763244855E2,6.849135916490E1,2.228580152278E2,1.217540965589E0
2.484800336420E2,5.082215809474E0,2.580998693606E2,1.309904492355E0,2.052750102604E2,6.913020376384E1,2.228567010028E2,1.228897426891E0
2.484787194170E2,5.129619542735E0,2.579960773218E2,1.322126891055E0,2.052736960354E2,6.977500710599E1,2.226504311503E2,1.240368122766E0
2.482724495644E2,5.177500109853E0,2.578922852830E2,1.334463333970E0,2.050674261829E2,7.042629652094E1,2.226491169252E2,1.251937501525E0
2.482711353394E2,5.225792595526E0,2.578909710580E2,1.346910374061E0,2.050661119579E2,7.108318900642E1,2.226478027002E2,1.263614792220E0
2.482698211144E2,5.274535523328E0,2.578896568330E2,1.359473512363E0,2.050647977328E2,7.174620857452E1,2.226464884752E2,1.275401001386E0
2.480635512618E2,5.323768755936E0,2.576833869805E2,1.372163023196E0,2.050634835078E2,7.241541237484E1,2.226451742502E2,1.287297144945E0
2.480622370368E2,5.373425544138E0,2.576820727555E2,1.384961702429E0,2.049596914691E2,7.309110289060E1,2.224389043977E2,1.299312951739E0
2.480609228118E2,5.423545499831E0,2.576807585304E2,1.397879759745E0,2.048558994303E2,7.377309810945E1,2.224375901726E2,1.311432131029E0
2.478546529593E2,5.474169611844E0,2.574744886779E2,1.410927759719E0,2.048545852053E2,7.446120746877E1,2.224362759476E2,1.323664350450E0
2.478533387343E2,5.525229245247E0,2.574731744529E2,1.424088012191E0,2.048532709802E2,7.515573508221E1,2.224349617226E2,1.336010664371E0
2.478520245092E2,5.576765131003E0,2.574718602279E2,1.437371015275E0,2.048519567552E2,7.585674081523E1,2.224336474976E2,1.348472136993E0
2.476457546567E2,5.628819415913E0,2.572655903753E2,1.450787632004E0,2.047481647164E2,7.656454152567E1,2.222273776450E2,1.361058959490E0
2.476444404317E2,5.681321526049E0,2.572642761503E2,1.464319672457E0,2.046443726777E2,7.727894655157E1,2.222260634200E2,1.373754066956E0
2.476431262067E2,5.734313343061E0,2.572629619253E2,1.477977931328E0,2.046430584526E2,7.799975627440E1,2.222247491950E2,1.386567586451E0
2.474368563541E2,5.787838204429E0,2.571591698865E2,1.491768582212E0,2.046417442276E2,7.872728925991E1,2.222234349700E2,1.399500622450E0
2.474355421291E2,5.841823542456E0,2.570553778477E2,1.505687910290E0,2.046404300026E2,7.946160821847E1,2.222221207450E2,1.412554289727E0
2.474342279041E2,5.896312421981E0,2.570540636227E2,1.519732026232E0,2.044341601501E2,8.020331368686E1,2.220158508924E2,1.425739263761E0
2.472279580515E2,5.951349404805E0,2.569502715839E2,1.533912274372E0,2.044328459250E2,8.095140007893E1,2.220145366674E2,1.439037668688E0
2.472266438265E2,6.006859873133E0,2.568464795452E2,1.548224834942E0,2.044315317000E2,8.170646415340E1,2.220132224424E2,1.452460112825E0
2.472253296015E2,6.062888108421E0,2.568451653201E2,1.562665708737E0,2.044302174750E2,8.246857099373E1,2.220119082174E2,1.466007753134E0
2.471559158715E2,6.109990946361E0,2.568438510951E2,1.577241277979E0,2.043264254362E2,8.323806507575E1,2.220105939923E2,1.479681757367E0
2.470177455240E2,6.176558616196E0,2.566375812426E2,1.591963462781E0,2.042226333974E2,8.401473911899E1,2.219068019536E2,1.493488306236E0
2.470164312989E2,6.234169695318E0,2.566362670176E2,1.606812303165E0,2.042213191724E2,8.479837610579E1,2.218030099148E2,1.507423680638E0
2.469470175689E2,6.282603227258E0,2.566349527925E2,1.621799644253E0,2.042200049474E2,8.558932236871E1,2.218016956898E2,1.521483986761E0
2.468088472214E2,6.351051488639E0,2.564286829400E2,1.636937742911E0,2.042186907224E2,8.638764608412E1,2.218003814648E2,1.535675438635E0
2.468075329964E2,6.410290128237E0,2.564273687150E2,1.652206075276E0,2.041148986836E2,8.719370809806E1,2.217990672397E2,1.549999259503E0
2.467381192663E2,6.460091947379E0,2.564260544900E2,1.667616821104E0,2.040111066448E2,8.800729127965E1,2.216952752010E2,1.564461923800E0
2.465999489188E2,6.530473928569E0,2.562197846374E2,1.683182583529E0,2.040097924198E2,8.882816829811E1,2.215914831622E2,1.579059535683E0
2.465986346938E2,6.591386108567E0,2.562184704124E2,1.698882258869E0,2.040084781948E2,8.965670194444E1,2.215901689372E2,1.593788016298E0
2.465973204688E2,6.652866439317E0,2.562171561874E2,1.714728370971E0,2.039046861560E2,9.049326671970E1,2.215888547121E2,1.608653874977E0
2.463910506162E2,6.714965200330E0,2.561133641486E2,1.730728082350E0,2.038008941172E2,9.133763727644E1,2.215875404871E2,1.623658393096E0
2.463897363912E2,6.777598199625E0,2.560095721098E2,1.746877083125E0,2.037995798922E2,9.218957768127E1,2.214837484483E2,1.638808352767E0
2.463884221662E2,6.840815400399E0,2.560082578848E2,1.763170860956E0,2.037982656672E2,9.304946445382E1,2.213799564096E2,1.654099673010E0
2.461821523136E2,6.904668502601E0,2.559044658460E2,1.779622577371E0,2.037969514422E2,9.391737171286E1,2.213786421845E2,1.669528081134E0
2.461808380886E2,6.969070935757E0,2.558006738073E2,1.796227800731E0,2.036931594034E2,9.479369175649E1,2.213773279595E2,1.685100395809E0
2.461795238636E2,7.034074074564E0,2.557993595822E2,1.812981891217E0,2.035893673646E2,9.567818852830E1,2.213760137345E2,1.700817959304E0
2.459732540111E2,7.099731079539E0,2.557980453572E2,1.829892253389E0,2.035880531396E2,9.657061488285E1,2.213746995095E2,1.716682126410E0
2.459719397861E2,7.165952934521E0,2.555917755047E2,1.846972716789E0,2.035867389146E2,9.747136523277E1,2.211684296569E2,1.732705871073E0
2.459706255610E2,7.232792465584E0,2.555904612797E2,1.864200124143E0,2.034829468758E2,9.838084672140E1,2.211671154319E2,1.748867468693E0
2.457643557085E2,7.300304335073E0,2.555891470546E2,1.881588217986E0,2.033791548370E2,9.929881435955E1,2.211658012069E2,1.765179811597E0
2.457630414835E2,7.368397012046E0,2.553828772021E2,1.899151218558E0,2.033778406120E2,1.002250116494E2,2.211644869819E2,1.781644305842E0
2.457617272585E2,7.437124814960E0,2.553815629771E2,1.916865314370E0,2.033765263870E2,1.011598479287E2,2.211631727569E2,1.798262370601E0
2.455554574059E2,7.506543950414E0,2.553802487521E2,1.934744636198E0,2.033752121620E2,1.021034037768E2,2.210593807181E2,1.815041517316E0
2.455541431809E2,7.576560301642E0,2.551739788995E2,1.952803806013E0,2.031689423094E2,1.030564508472E2,2.209555886793E2,1.831977226148E0
2.455528289559E2,7.647229721643E0,2.551726646745E2,1.971018339634E0,2.031676280844E2,1.040176970220E2,2.209542744543E2,1.849064764935E0
2.454834152259E2,7.706641377578E0,2.551713504495E2,1.989402767043E0,2.031663138594E2,1.049879091006E2,2.209529602293E2,1.866311685606E0
2.453452448783E2,7.790604375766E0,2.549650805970E2,2.007972123292E0,2.031649996344E2,1.059671707111E2,2.209516460043E2,1.883719474776E0
2.453439306533E2,7.863270265136E0,2.549637663719E2,2.026701232503E0,2.030612075956E2,1.069559244844E2,2.208478539655E2,1.901296000846E0
2.452745169233E2,7.924360349326E0,2.549624521469E2,2.045605035140E0,2.029574155568E2,1.079539040776E2,2.207440619267E2,1.919036529185E0
2.451363465758E2,8.010695371426E0,2.547561822944E2,2.064698991011E0,2.029561013318E2,1.089608306358E2,2.207427477017E2,1.936936102749E0
2.451350323507E2,8.085414132073E0,2.547548680694E2,2.083957212996E0,2.029547871068E2,1.099771491758E2,2.207414334767E2,1.955002632349E0
2.450656186207E2,8.148230061499E0,2.547535538443E2,2.103395063641E0,2.028509950680E2,1.110033190782E2,2.207401192516E2,1.973237675249E0
2.449274482732E2,8.237004119142E0,2.547522396193E2,2.123014218411E0,2.027472030292E2,1.120390639212E2,2.207388050266E2,1.991642803233E0
2.449261340482E2,8.313833746370E0,2.545459697668E2,2.142830722136E0,2.027458888042E2,1.130840942977E2,2.205325351741E2,2.010233068285E0
2.449248198231E2,8.391379992351E0,2.545446555418E2,2.162817708085E0,2.027445745792E2,1.141388720645E2,2.205312209491E2,2.028983266178E0
2.447185499706E2,8.469706275535E0,2.545433413167E2,2.182991120149E0,2.026407825404E2,1.152038739862E2,2.205299067240E2,2.047908354199E0
2.447172357456E2,8.548706403065E0,2.543370714642E2,2.203367456440E0,2.025369905016E2,1.162788131805E2,2.205285924990E2,2.067009963616E0
2.447159215206E2,8.628443394418E0,2.543357572392E2,2.223919091218E0,2.025356762766E2,1.173633892887E2,2.205272782740E2,2.086289740910E0
2.445096516680E2,8.708982459670E0,2.543344430142E2,2.244662418803E0,2.025343620516E2,1.184580816452E2,2.204234862352E2,2.105756400628E0
2.445083374430E2,8.790214405925E0,2.541281731616E2,2.265614403391E0,2.024305700128E2,1.195633850558E2,2.203196941964E2,2.125404698991E0
2.445070232180E2,8.872204033014E0,2.541268589366E2,2.286746638793E0,2.023267779740E2,1.206790017825E2,2.203183799714E2,2.145229145886E0
2.443007533655E2,8.955018393249E0,2.541255447116E2,2.308075982482E0,2.023254637490E2,1.218046201004E2,2.203170657464E2,2.165238502833E0
2.442994391404E2,9.038545208948E0,2.539192748591E2,2.329619877906E0,2.023241495240E2,1.229407374826E2,2.203157515214E2,2.185434494558E0
2.442981249154E2,9.122851110589E0,2.539179606340E2,2.351349116378E0,2.022203574852E2,1.240878674594E2,2.202119594826E2,2.205826249744E0
2.440918550629E2,9.208005044768E0,2.539166464090E2,2.373281031608E0,2.021165654464E2,1.252457010257E2,2.201081674438E2,2.226408275414E0
2.440905408379E2,9.293891561864E0,2.537103765565E2,2.395433559837E0,2.021152512214E2,1.264139146605E2,2.201068532188E2,2.247174820554E0
2.440892266128E2,9.380579174722E0,2.537090623315E2,2.417776667208E0,2.021139369964E2,1.275930246621E2,2.201055389938E2,2.268135063050E0
2.438829567603E2,9.468138777737E0,2.537077481064E2,2.440328177123E0,2.020101449576E2,1.287835639936E2,2.201042247688E2,2.289290809590E0
2.438816425353E2,9.556451659740E0,2.537064338814E2,2.463090033430E0,2.019063529188E2,1.299852119567E2,2.201029105438E2,2.310643883714E0
2.438803283103E2,9.645588269121E0,2.535001640289E2,2.486080851108E0,2.019050386938E2,1.311976327878E2,2.198966406912E2,2.332211748277E0
2.436740584577E2,9.735621503098E0,2.534988498039E2,2.509269459767E0,2.019037244688E2,1.324213623227E2,2.198953264662E2,2.353965162097E0
2.436727442327E2,9.826429296817E0,2.534975355788E2,2.532674357279E0,2.017999324300E2,1.336569536930E2,2.198940122412E2,2.375921478167E0
2.436714300077E2,9.918084088891E0,2.532912657263E2,2.556314684508E0,2.016961403913E2,1.349040740645E2,2.198926980162E2,2.398082589033E0
2.436020162777E2,9.995138109872E0,2.532899515013E2,2.580158390477E0,2.016948261662E2,1.361623749675E2,2.198913837911E2,2.420450404893E0
2.434638459301E2,1.010403402469E1,2.532886372763E2,2.604224495636E0,2.016935119412E2,1.374324125152E2,2.196851139386E2,2.443043218473E0
2.434625317051E2,1.019827814020E1,2.530823674237E2,2.628532681597E0,2.015897199024E2,1.387147607702E2,2.196837997136E2,2.465830398990E0
2.433931179751E2,1.027750900079E1,2.530810531987E2,2.653049991916E0,2.014859278637E2,1.400090743034E2,2.196824854886E2,2.488830124086E0
2.432549476276E2,1.038948131497E1,2.530797389737E2,2.677795984384E0,2.014846136386E2,1.413149914587E2,2.196811712635E2,2.512044376247E0
2.432536334025E2,1.048638790443E1,2.528734691212E2,2.702790896636E0,2.014832994136E2,1.426330893931E2,2.196798570385E2,2.535475156445E0
2.431842196725E2,1.056785710214E1,2.528721548961E2,2.728000841181E0,2.012770295611E2,1.439644460664E2,2.195760649998E2,2.559133055502E0
2.430460493250E2,1.068299272650E1,2.528708406711E2,2.753445928336E0,2.012757153361E2,1.453072564579E2,2.194722729610E2,2.583011700634E0
2.430447351000E2,1.078263700699E1,2.526645708186E2,2.779146967463E0,2.012744011110E2,1.466625917455E2,2.194709587360E2,2.607104419688E0
2.430434208749E2,1.088321070707E1,2.526632565936E2,2.805069113723E0,2.011706090723E2,1.480310645472E2,2.194696445109E2,2.631421860569E0
2.428371510224E2,1.098479607736E1,2.526619423685E2,2.831233045565E0,2.010668170335E2,1.494123062342E2,2.194683302859E2,2.655966119344E0
2.428358367974E2,1.108725539091E1,2.525925286385E2,2.853229016616E0,2.010655028085E2,1.508059308610E2,2.194670160609E2,2.680739311627E0
2.428345225724E2,1.119067038092E1,2.524543582910E2,2.884314628495E0,2.010641885834E2,1.522125543474E2,2.192607462084E2,2.705761697296E0
2.426282527198E2,1.129512562166E1,2.524530440660E2,2.911217712979E0,2.009603965447E2,1.536328124939E2,2.192594319833E2,2.730999351613E0
2.426269384948E2,1.140047949529E1,2.524517298410E2,2.938371732624E0,2.008566045059E2,1.550663227220E2,2.192581177583E2,2.756472407000E0
2.426256242698E2,1.150681604401E1,2.522454599884E2,2.965798894383E0,2.008552902809E2,1.565126844814E2,2.192568035333E2,2.782183059129E0
2.424193544173E2,1.161422223141E1,2.522441457634E2,2.993462013181E0,2.008539760559E2,1.579725369995E2,2.192554893083E2,2.808133524154E0
2.424180401922E2,1.172255243881E1,2.522428315384E2,3.021383156265E0,2.006466840283E2,1.606026086367E2,2.190492194557E2,2.834345024746E0
2.424167259672E2,1.183189308269E1,2.520355395108E2,3.071685913284E0,2.006450777533E2,1.624353913916E2,2.190479052307E2,2.860782023992E0
2.422104561147E2,1.194233358342E1,2.520339332358E2,3.106739721052E0,2.004377857257E2,1.651397647206E2,2.190465910057E2,2.887465611046E0
2.422091418897E2,1.205372420848E1,2.518266412082E2,3.158463572423E0,2.004361794507E2,1.670243250991E2,2.190452767807E2,2.914398085927E0
2.422078276646E2,1.216615381569E1,2.518250349332E2,3.194507679157E0,2.003323874119E2,1.685827882587E2,2.190439625557E2,2.941581770103E0
2.420015578121E2,1.227971435161E1,2.516177429057E2,3.247692771967E0,2.002275731981E2,1.713889350604E2,2.189401705169E2,2.969028950727E0
2.420002435871E2,1.239425185364E1,2.516161366306E2,3.284755154429E0,2.002259669231E2,1.733448104177E2,2.188363784781E2,2.996732234286E0
2.419989293621E2,1.250985768993E1,2.514088446031E2,3.339442769953E0,2.000186748956E2,1.762308137572E2,2.188350642531E2,3.024683879949E0
2.417926595095E2,1.262662640460E1,2.514072383281E2,3.377552195270E0,,,2.188337500281E2,3.052896241096E0
2.417913452845E2,1.274439968549E1,2.511999463005E2,3.433784781014E0,,,2.188324358031E2,3.081371749518E0
2.417900310595E2,1.286327148195E1,2.511983400255E2,3.472970829011E0,,,2.188311215780E2,3.110112859689E0
2.415837612070E2,1.298333900906E1,2.509910479979E2,3.530792031657E0,,,2.186248517255E2,3.139143076507E0
2.415824469819E2,1.310443948222E1,2.509894417229E2,3.571085117812E0,,,2.186235375005E2,3.168423041516E0
2.415811327569E2,1.322666950492E1,2.507821496954E2,3.630539817096E0,,,2.186222232755E2,3.197976111741E0
2.413748629044E2,1.335012903865E1,2.507805434203E2,3.671971216151E0,,,2.186209090504E2,3.227804834538E0
2.413735486794E2,1.347465070001E1,2.505732513928E2,3.733105559700E0,,,2.186195948254E2,3.257911781022E0
2.413722344543E2,1.360033382160E1,2.505716451178E2,3.775707429931E0,,,2.184133249729E2,3.288321573092E0
2.412684424156E2,1.372723521280E1,2.504842390959E2,3.829654780078E0,,,2.184120107479E2,3.318992981897E0
2.411646503768E2,1.385532068987E1,2.503627468152E2,3.882374277263E0,,,2.184106965228E2,3.349950474437E0
2.411633361518E2,1.398455446326E1,2.502753407933E2,3.937845684522E0,,,2.184093822978E2,3.381196719122E0
2.410595441130E2,1.411504092336E1,2.501538485126E2,3.992054550962E0,,,2.184080680728E2,3.412734409253E0
2.409557520742E2,1.424674492074E1,2.500664424907E2,4.049093071203E0,,,2.182017982203E2,3.444589336811E0
2.409544378492E2,1.437962965476E1,,,,,2.182004839952E2,3.476718313666E0
2.408506458104E2,1.451380246493E1,,,,,2.181991697702E2,3.509146969541E0
2.407468537716E2,1.464922720880E1,,,,,2.181978555452E2,3.541878099653E0
2.407455395466E2,1.478586604610E1,,,,,2.181965413202E2,3.574914525293E0
2.406417475078E2,1.492382934876E1,,,,,2.181952270952E2,3.608259094068E0
2.405379554691E2,1.506307995328E1,,,,,2.179889572426E2,3.641939075652E0
2.405366412440E2,1.520357895036E1,,,,,2.179876430176E2,3.675908807549E0
2.404328492053E2,1.534543983005E1,,,,,2.179863287926E2,3.710195387879E0
2.403290571665E2,1.548862437894E1,,,,,2.179850145676E2,3.744801772005E0
2.403277429415E2,1.563309258851E1,,,,,2.179837003426E2,3.779730942857E0
2.402239509027E2,1.577896115499E1,,,,,2.177774304900E2,3.815011466020E0
2.401201588639E2,1.592619078542E1,,,,,2.177761162650E2,3.850595509024E0
2.401188446389E2,1.607474034099E1,,,,,2.177748020400E2,3.886511457746E0
2.400150526001E2,1.622472981472E1,,,,,2.177734878150E2,3.922762407994E0
2.399112605613E2,1.637611880357E1,,,,,2.177721735899E2,3.959351484453E0
2.399099463363E2,1.652886500655E1,,,,,2.175659037374E2,3.996308610203E0
2.399086321113E2,1.668303593066E1,,,,,2.175645895124E2,4.033583679679E0
2.397023622588E2,1.683875765914E1,,,,,2.175632752874E2,4.071206427709E0
2.397010480337E2,1.699581906826E1,,,,,2.175619610623E2,4.109180097223E0
2.396997338087E2,1.715434544807E1,,,,,2.175606468373E2,4.147507961398E0
2.395959417699E2,1.731440845321E1,,,,,2.174912331073E2,4.179730128765E0
2.394921497312E2,1.747596496714E1,,,,,2.173530627598E2,4.225267822299E0
2.394908355061E2,1.763896984785E1,,,,,2.173517485348E2,4.264678480231E0
2.393870434674E2,1.780355476484E1,,,,,2.173504343097E2,4.304456736153E0
2.392832514286E2,1.796967538346E1,,,,,2.173491200847E2,4.344606018789E0
2.392819372036E2,1.813728528642E1,,,,,2.173478058597E2,4.385129788845E0
2.391781451648E2,1.830651986298E1,,,,,2.171415360072E2,4.426061187251E0
2.390743531260E2,1.847733352602E1,,,,,2.171402217821E2,4.467344720218E0
2.390730389010E2,1.864967854691E1,,,,,2.171389075571E2,4.509013320183E0
2.389692468622E2,1.882369413977E1,,,,,2.171375933321E2,4.551070578811E0
2.388654548234E2,1.899933342959E1,,,,,2.171362791071E2,4.593520121266E0
2.388641405984E2,1.917654733939E1,,,,,2.169300092545E2,4.636396663403E0
2.387603485596E2,1.935547901619E1,,,,,2.169286950295E2,4.679642074256E0
2.386565565209E2,1.953608026074E1,,,,,2.169273808045E2,4.723290851278E0
2.386552422958E2,1.971830060957E1,,,,,2.169260665795E2,4.767346756816E0
2.385514502571E2,1.990228725374E1,,,,,2.169247523545E2,4.811813588311E0
2.384476582183E2,2.008799063232E1,,,,,2.169234381294E2,4.856695178624E0
2.384463439933E2,2.027535885622E1,,,,,2.167171682769E2,4.902028232573E0
